X1,X2,X3,X4
1.0636108,1.3770386,0.6568726,3.3724487
3.5136108,3.8270386,3.1068726,0.9224487
4.7386108,0.1520386,4.3318726,4.5974487
2.2886108,2.6020386,1.8818726,2.1474487
1.6761108,0.7645386,3.7193726,2.7599487
4.1261108,3.2145386,1.2693726,0.3099487
2.9011108,1.9895386,2.4943726,3.9849487
0.4511108,4.4395386,4.9443726,1.5349487
0.6042358,2.1426636,2.9537476,2.3005737
3.0542358,4.5926636,0.5037476,4.7505737
4.2792358,0.9176636,1.7287476,1.0755737
1.8292358,3.3676636,4.1787476,3.5255737
2.4417358,0.3051636,1.1162476,1.6880737
4.8917358,2.7551636,3.5662476,4.1380737
3.6667358,1.5301636,4.7912476,0.4630737
1.2167358,3.9801636,2.3412476,2.9130737
0.9104858,1.2239136,3.8724976,3.8318237
3.3604858,3.6739136,1.4224976,1.3818237
4.5854858,2.4489136,0.1974976,2.6068237
2.1354858,4.8989136,2.6474976,0.1568237
1.5229858,1.8364136,2.0349976,4.4443237
3.9729858,4.2864136,4.4849976,1.9943237
2.7479858,0.6114136,3.2599976,3.2193237
0.2979858,3.0614136,0.8099976,0.7693237
0.3745483,1.7598511,4.1021851,2.8365112
2.8245483,4.2098511,1.6521851,0.3865112
4.0495483,0.5348511,0.4271851,4.0615112
1.5995483,2.9848511,2.8771851,1.6115112
2.2120483,1.1473511,2.2646851,3.4490112
4.6620483,3.5973511,4.7146851,0.9990112
3.4370483,2.3723511,3.4896851,4.6740112
0.9870483,4.8223511,1.0396851,2.2240112
1.2932983,0.2286011,2.5709351,1.3052612
3.7432983,2.6786011,0.1209351,3.7552612
4.9682983,1.4536011,1.3459351,2.5302612
2.5182983,3.9036011,3.7959351,4.9802612
1.9057983,2.0661011,0.7334351,0.6927612
4.3557983,4.5161011,3.1834351,3.1427612
3.1307983,0.8411011,4.4084351,1.9177612
0.6807983,3.2911011,1.9584351,4.3677612
0.5276733,0.9942261,0.2740601,4.5208862
2.9776733,3.4442261,2.7240601,2.0708862
4.2026733,2.2192261,3.9490601,3.2958862
1.7526733,4.6692261,1.4990601,0.8458862
2.3651733,1.6067261,3.3365601,3.9083862
4.8151733,4.0567261,0.8865601,1.4583862
3.5901733,0.3817261,2.1115601,2.6833862
1.1401733,2.8317261,4.5615601,0.2333862
0.8339233,2.5254761,1.8053101,1.7646362
3.2839233,4.9754761,4.2553101,4.2146362
4.5089233,1.3004761,3.0303101,0.5396362
2.0589233,3.7504761,0.5803101,2.9896362
1.4464233,0.6879761,4.8678101,2.3771362
3.8964233,3.1379761,2.4178101,4.8271362
2.6714233,1.9129761,1.1928101,1.1521362
0.2214233,4.3629761,3.6428101,3.6021362
0.1831421,2.3340698,1.3076538,4.176355
2.6331421,4.7840698,3.7576538,1.726355
3.8581421,1.1090698,4.9826538,2.951355
1.4081421,3.5590698,2.5326538,0.501355
2.0206421,0.4965698,3.1451538,4.788855
4.4706421,2.9465698,0.6951538,2.338855
3.2456421,1.7215698,1.9201538,3.563855
0.7956421,4.1715698,4.3701538,1.113855
1.1018921,0.8028198,2.2264038,2.032605
3.5518921,3.2528198,4.6764038,4.482605
