V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
68.07196,-0.1250012,-0.09611398,-0.08684624,-0.0927816,-0.10207585,-0.09169758,-0.07012332,-0.0721392,-0.08601703,-0.07436116,-0.07017416,-0.07549267,-0.060249965,-0.07864064,-0.09492091,-0.08528304,-0.08670893,-0.08002729,-0.053420383,-0.06630897,-0.09099385,-0.08285417,-0.10395506,-0.07262112
78.71063,-0.1665109,-0.16703379,-0.15506231,-0.15444266,-0.15582286,-0.14045451,-0.13016841,-0.14149967,-0.14502804,-0.13280895,-0.12781379,-0.13095658,-0.13621067,-0.14324904,-0.14866869,-0.13955153,-0.14067163,-0.14071947,-0.128930871,-0.13125634,-0.14731602,-0.14291486,-0.15906693,-0.14673091
76.31332,-0.16288,-0.13151791,-0.11875454,-0.12578781,-0.1372155,-0.12114546,-0.10147829,-0.10249818,-0.11592485,-0.10563828,-0.09900382,-0.1047339,-0.087234671,-0.10958391,-0.12463247,-0.11914751,-0.11569112,-0.10971351,-0.073810903,-0.09371527,-0.12095635,-0.11621221,-0.13695658,-0.09750313
104.3601,-0.2230481,-0.21480005,-0.20536104,-0.20599538,-0.20953783,-0.19696456,-0.18513316,-0.18974329,-0.19484213,-0.18611249,-0.18238181,-0.18735293,-0.18981988,-0.1938901,-0.20189638,-0.1932355,-0.19051758,-0.1982286,-0.173805031,-0.18823969,-0.2028421,-0.1978064,-0.20645083,-0.19494711
73.33618,-0.1463192,-0.13420912,-0.12165265,-0.12332013,-0.12892144,-0.1151058,-0.09978904,-0.10895074,-0.1151403,-0.10241276,-0.09756792,-0.10173092,-0.098159043,-0.11038371,-0.12062626,-0.11147442,-0.11338565,-0.10894728,-0.088705214,-0.09551575,-0.11735057,-0.11088632,-0.13194295,-0.10869067
85.89315,-0.1895669,-0.18589677,-0.17116239,-0.17188431,-0.17497932,-0.1566881,-0.14469942,-0.15737924,-0.16143035,-0.14795552,-0.14223868,-0.14612451,-0.148084356,-0.15797696,-0.16547802,-0.15655943,-0.15733066,-0.15530233,-0.136932905,-0.1428699,-0.16240209,-0.158036,-0.17703169,-0.15712067
77.52504,-0.1783706,-0.10000274,-0.09015976,-0.11894783,-0.13494094,-0.11574701,-0.07349212,-0.05071992,-0.10974643,-0.10478848,-0.09154071,-0.1052358,-0.020482021,-0.0936525,-0.12808897,-0.11763166,-0.09458028,-0.07219884,-0.034720014,-0.09104698,-0.11104048,-0.11216748,-0.08855902,-0.01892079
93.69143,-0.214942,-0.14895947,-0.14132859,-0.16577263,-0.17795129,-0.15581244,-0.12288159,-0.10331935,-0.15584262,-0.15113651,-0.13564141,-0.14983363,-0.073012317,-0.14256699,-0.16985177,-0.15688806,-0.11896309,-0.10813198,-0.070504367,-0.13748267,-0.14753682,-0.14874848,-0.09918674,-0.04888692
72.03354,-0.1427278,-0.11476189,-0.10401507,-0.1105047,-0.11885875,-0.1062357,-0.08501323,-0.08934581,-0.1029871,-0.08958207,-0.08558695,-0.09148083,-0.076807024,-0.09467985,-0.11124903,-0.10034269,-0.10314041,-0.09608387,-0.070100315,-0.08197355,-0.10643884,-0.09842824,-0.11996602,-0.08739282
89.22377,-0.207141,-0.21733326,-0.20418226,-0.20340355,-0.20228479,-0.18069116,-0.17535012,-0.18923914,-0.19149536,-0.17844395,-0.17237665,-0.17395409,-0.186022816,-0.19136449,-0.19228181,-0.18437721,-0.18401455,-0.18579689,-0.180055481,-0.17931811,-0.19171313,-0.18985113,-0.2029208,-0.1961572
78.88834,-0.1686019,-0.13317151,-0.12392082,-0.13336189,-0.14099755,-0.12722827,-0.10446093,-0.10583149,-0.12495222,-0.11142103,-0.10731732,-0.11531272,-0.094206314,-0.11550156,-0.13443698,-0.12232956,-0.12458865,-0.11865521,-0.089594028,-0.1063804,-0.12976635,-0.12196148,-0.13854871,-0.10297426
98.32357,-0.2188338,-0.2152933,-0.20245428,-0.20139638,-0.20603199,-0.18775602,-0.17768357,-0.1870436,-0.18936421,-0.17884284,-0.17272986,-0.17625476,-0.181965202,-0.18921309,-0.1944215,-0.1878437,-0.18507214,-0.18850935,-0.165516539,-0.17675041,-0.19521715,-0.19118565,-0.20574386,-0.18974663
70.00319,-0.1296498,-0.11515595,-0.10482714,-0.10732474,-0.11256936,-0.10129691,-0.08489103,-0.09232953,-0.10039237,-0.08779377,-0.0840433,-0.08836487,-0.082730564,-0.09448309,-0.10680478,-0.09605165,-0.09924155,-0.09473674,-0.075934971,-0.0820063,-0.10337798,-0.09537521,-0.11599046,-0.09359826
77.89043,-0.1617381,-0.14962971,-0.13814677,-0.13950933,-0.14482555,-0.13090257,-0.11580309,-0.12412375,-0.13051205,-0.11837432,-0.11352399,-0.11773899,-0.11516347,-0.12670533,-0.13667937,-0.12750797,-0.12880013,-0.12612729,-0.105386612,-0.11316082,-0.13452315,-0.12807413,-0.14775572,-0.12567732
74.81199,-0.1632829,-0.11113698,-0.10070726,-0.11718694,-0.12681287,-0.10963307,-0.08063071,-0.08001688,-0.10833303,-0.09244579,-0.08763519,-0.0984769,-0.061536923,-0.09242565,-0.11762771,-0.10482838,-0.10899089,-0.09605082,-0.060420483,-0.08410302,-0.10898089,-0.10330271,-0.1180357,-0.06631282
113.89354,-0.2436086,-0.2126856,-0.20671833,-0.21421191,-0.22021704,-0.19981844,-0.1882985,-0.18588723,-0.20251687,-0.19372705,-0.18859195,-0.19861134,-0.180824484,-0.19707178,-0.20997655,-0.20193419,-0.19354962,-0.19947161,-0.15967252,-0.19393069,-0.20569337,-0.20273609,-0.19644195,-0.17188917
76.39027,-0.1606892,-0.1427321,-0.12882285,-0.13177768,-0.13983699,-0.12394662,-0.10740531,-0.11530811,-0.12262211,-0.1101425,-0.10444912,-0.10911665,-0.102047084,-0.11767175,-0.12873297,-0.12126252,-0.12163384,-0.11614229,-0.089741131,-0.10093118,-0.12520786,-0.11963991,-0.14189289,-0.11212493
77.27903,-0.1600045,-0.15670335,-0.1440562,-0.14475235,-0.14677372,-0.13161356,-0.11933484,-0.13098066,-0.13575487,-0.12260882,-0.11784709,-0.12159738,-0.12295714,-0.13182868,-0.14005542,-0.12993668,-0.13203528,-0.1300032,-0.115258566,-0.11870936,-0.13697378,-0.13167857,-0.15021152,-0.13306514
71.60459,-0.1455532,-0.10201029,-0.09293096,-0.10445112,-0.11522337,-0.10305316,-0.07592631,-0.07377273,-0.09708653,-0.08478051,-0.08006021,-0.08795487,-0.059589995,-0.08693968,-0.10806575,-0.09708608,-0.0975065,-0.08861262,-0.056535852,-0.07725299,-0.10220718,-0.0950875,-0.11236454,-0.0709459
91.89324,-0.2077049,-0.17847799,-0.16544693,-0.17368985,-0.18242464,-0.16024233,-0.14491693,-0.1494398,-0.16274517,-0.14966108,-0.14390313,-0.15089839,-0.134639286,-0.15414567,-0.16950616,-0.16225771,-0.16120808,-0.15515608,-0.120240933,-0.13931967,-0.1643654,-0.15996119,-0.17774536,-0.1370148
68.38342,-0.1278295,-0.10001757,-0.08925624,-0.09493356,-0.10489955,-0.09325384,-0.07254899,-0.07504541,-0.08744125,-0.07633916,-0.07134004,-0.07635167,-0.061859118,-0.08076113,-0.09587835,-0.08795849,-0.08816625,-0.08119915,-0.052902496,-0.06663439,-0.09202212,-0.08496699,-0.10690974,-0.07428479
