V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
-0.932508614,1.43465576,1.232007348,1.202343322,1.329030746,1.331811119,1.285877224,1.146828553,1.052885315,1.32302219,1.287712544,1.257996077,1.309381125,0.898626542,1.245362089,1.349330878,1.301743522,1.231686783,1.090756878,0.996833796,1.270963614,1.269918403,1.307454483,0.944868899,0.68114862
-0.2916165,0.299504985,-0.404768818,-0.368799004,-0.187342013,-0.042267639,-0.093861292,-0.282600924,-0.475584469,-0.199646055,-0.174444704,-0.216750537,-0.11312519,-0.574981011,-0.337030575,-0.098797464,-0.099782115,-0.251624731,-0.327528321,-0.707934956,-0.299571809,-0.201979121,-0.204959909,-0.391046789,-0.679399276
-0.436034423,0.398796378,0.414911241,0.46743626,0.517339751,0.43344224,0.452552072,0.400394104,0.383876319,0.551306969,0.505269595,0.520370997,0.559418904,0.375133937,0.487497676,0.548811161,0.427167527,0.43503253,0.397034443,0.536485547,0.608233655,0.486892442,0.467451,0.144909786,0.224351095
1.253553678,-1.246597818,-1.507178455,-1.527271861,-1.455129891,-1.415527239,-1.692999644,-1.59108826,-1.53871025,-1.485005032,-1.507911133,-1.612908104,-1.559545969,-1.614978408,-1.577334379,-1.532913154,-1.486211936,-1.621775998,-1.671430288,-1.721040115,-1.677523885,-1.653071708,-1.587207843,-1.539635931,-1.564578402
-0.615382982,0.851678329,0.352800076,0.400687219,0.578025146,0.645485368,0.62346422,0.440608324,0.241683707,0.571551009,0.585960561,0.557109213,0.636437743,0.163205464,0.467908994,0.656750591,0.625330863,0.498404661,0.414940156,0.200222904,0.564695127,0.581124141,0.601564675,0.266440433,0.018964271
0.141071401,-0.330999874,-0.84011233,-0.73961371,-0.616268274,-0.532015648,-0.553244144,-0.628525336,-0.825516318,-0.62287671,-0.553358534,-0.585820453,-0.502143569,-0.805325794,-0.697747662,-0.551692017,-0.539024263,-0.709543476,-0.66830786,-0.888593528,-0.580406946,-0.596231435,-0.585731958,-0.826513955,-0.870140042
-0.363038108,-0.024819664,1.142257693,1.126026939,0.685549071,0.491592807,0.605319254,1.066631089,1.524893685,0.710729617,0.526528418,0.711319339,0.546546628,1.67010887,0.877690612,0.45568275,0.466315554,1.015321459,1.273695887,1.419024219,0.672757532,0.746029111,0.569303131,1.318070081,1.667008504
0.61085387,-1.024923504,0.012372992,-0.052486122,-0.465969462,-0.607995937,-0.528464381,-0.109131428,0.365780509,-0.478695845,-0.632935651,-0.417025252,-0.597272853,0.651041966,-0.320325738,-0.669533982,-0.547511398,0.345093448,0.433992397,0.611135839,-0.450134782,-0.207749342,-0.351859,1.060453513,1.116874049
-0.693855798,0.949892198,0.801627503,0.806913371,0.89318314,0.902745,0.874473098,0.792360283,0.673709926,0.885141263,0.906939175,0.863650147,0.89932591,0.577426167,0.852528701,0.909401771,0.912816324,0.780022841,0.715538697,0.620257938,0.892168057,0.866286173,0.915277004,0.556762099,0.4099618
0.341713951,-0.811591496,-1.565642877,-1.500122341,-1.391391404,-1.230098329,-1.232490057,-1.358193946,-1.527600494,-1.398647784,-1.316071429,-1.356919632,-1.215900455,-1.54131688,-1.515477016,-1.273867613,-1.257439671,-1.443022683,-1.380919896,-1.862153902,-1.461785357,-1.362232604,-1.386882674,-1.454067651,-1.586793991
-0.280910533,0.24232148,0.376747403,0.348447245,0.331077539,0.336751475,0.280419055,0.329389581,0.310421517,0.318372878,0.360605415,0.307664773,0.288099418,0.239886835,0.342562312,0.28464797,0.344988572,0.190459816,0.18808026,0.180156536,0.301969718,0.25665601,0.322676226,0.106316413,0.123909174
0.88990217,-1.131352032,-1.518562178,-1.460323799,-1.342030925,-1.325898078,-1.43241346,-1.413743745,-1.479218229,-1.343657396,-1.326050157,-1.365956709,-1.274906705,-1.462600776,-1.462784886,-1.331517198,-1.346964484,-1.472093377,-1.444305921,-1.533914289,-1.399694124,-1.45380486,-1.420487829,-1.522498855,-1.469105263
-0.816167871,1.307530992,0.792532894,0.788209925,0.971384884,1.063537553,1.014232431,0.795269271,0.607958992,0.952093579,0.951676017,0.903145314,0.979242278,0.462511832,0.857347992,1.029143438,1.023635908,0.887193593,0.747019007,0.488531348,0.89137615,0.946277363,0.992156685,0.6531299,0.296038936
-0.341026352,0.430024556,-0.003095625,0.02079715,0.179899329,0.238886022,0.176442591,0.059378999,-0.092678019,0.174911737,0.186658808,0.148863074,0.225872025,-0.166673668,0.068158874,0.224231227,0.211252237,0.074695839,0.01346918,-0.17638605,0.138007944,0.13234388,0.168750954,-0.116862095,-0.292886001
-0.526477589,0.387777966,0.885287844,0.883098458,0.728853057,0.699392388,0.778333313,0.896690288,0.879288081,0.747199764,0.835298893,0.811244622,0.719894766,0.873660065,0.907738931,0.737540804,0.796969893,0.619206661,0.716310922,0.838795474,0.840673885,0.799853314,0.792530885,0.603553352,0.796959899
1.827865087,-1.808859194,-1.45837849,-1.558532909,-1.657191245,-1.688548503,-1.773759662,-1.666442123,-1.453735752,-1.683037272,-1.698400512,-1.771798548,-1.848295388,-1.440471288,-1.655260246,-1.750617696,-1.710862176,-1.705120095,-1.700477653,-1.401976327,-1.815141836,-1.727585698,-1.71134428,-1.297020014,-1.141268258
-0.431398744,0.458707902,0.156095968,0.235544437,0.370036601,0.366422094,0.373284178,0.25929598,0.101588848,0.378496969,0.392589869,0.381049439,0.447012825,0.087779007,0.289409806,0.438331243,0.372545606,0.271680856,0.246803613,0.176835437,0.433740924,0.375785237,0.38113667,0.025253308,-0.044083872
-0.377858367,0.477432647,-0.166349942,-0.115307904,0.050962678,0.189079759,0.156322754,-0.024697821,-0.243780942,0.039630715,0.080726504,0.03825391,0.126914167,-0.317867791,-0.057322574,0.133269994,0.14852896,-0.014231135,-0.077105043,-0.399261022,0.003834986,0.068300127,0.07798584,-0.176390931,-0.428515595
-0.719696749,0.872625928,1.09592498,1.062200962,1.04205304,0.995685782,0.9645335,1.008683027,1.016887971,1.037394498,1.027057287,1.005055209,0.989757786,0.911429684,1.042101429,0.995169051,0.996920987,0.934886373,0.890130559,0.926497167,1.006318992,0.976874357,0.999401529,0.741022547,0.711903337
0.502527715,-0.82701383,-0.668892272,-0.607976,-0.660670187,-0.722360079,-0.653822838,-0.633703266,-0.650557948,-0.656803133,-0.596025619,-0.628406686,-0.624581036,-0.544496774,-0.603911612,-0.660222335,-0.686186566,-0.816124954,-0.664890088,-0.511745853,-0.494556395,-0.647539566,-0.634211113,-0.843813146,-0.501025531
-0.913745886,1.357309715,1.141915554,1.146836573,1.276109514,1.259621326,1.241837608,1.089083238,0.988842447,1.286272675,1.238230111,1.228166451,1.287349857,0.867409597,1.193426927,1.323534566,1.232648018,1.191628523,1.063372147,1.008525925,1.263094559,1.243046055,1.254250695,0.8732473,0.650606184
0.211678561,-0.25370759,-0.603202847,-0.609579946,-0.490446414,-0.430937304,-0.580127458,-0.595543014,-0.669653099,-0.506762484,-0.497610182,-0.565124291,-0.498349002,-0.74870431,-0.607000603,-0.512673802,-0.479371323,-0.636382716,-0.675975911,-0.845456272,-0.614213855,-0.622403278,-0.556641811,-0.727842102,-0.824905478
-0.052224295,-0.588374172,0.859146658,0.819239077,0.249134486,0.067691958,0.379483911,0.821168419,1.479484765,0.274334354,0.145106517,0.452072783,0.129409479,1.93386734,0.66026321,0.103084674,0.088119464,0.851130301,1.334034614,1.651729148,0.405321615,0.447006053,0.227504634,1.841116085,2.446140165
1.651988823,-1.885861704,-0.80470631,-0.940828307,-1.379638978,-1.484742143,-1.30177612,-0.90525391,-0.400620704,-1.411292551,-1.485558376,-1.179032892,-1.484240998,0.18706073,-1.116721912,-1.452682306,-1.268956844,-0.015829212,0.065386754,0.546361596,-1.171987014,-0.622279942,-0.796989399,1.726017437,1.5616132
-0.417503538,0.473882039,0.322674241,0.357630956,0.428403198,0.439337007,0.423546326,0.370029147,0.241002141,0.42465537,0.469326174,0.426386745,0.462916685,0.19990291,0.402646728,0.449350804,0.459286551,0.305982739,0.300120504,0.220786203,0.473924567,0.419644616,0.462677904,0.123080323,0.078067218
-0.181718708,0.055680458,-0.529086488,-0.400754358,-0.243743048,-0.15292283,-0.140847104,-0.283373511,-0.526224467,-0.257372136,-0.184232315,-0.204816817,-0.118055506,-0.512980163,-0.34249484,-0.144025519,-0.15506884,-0.309968362,-0.299191708,-0.554958421,-0.191340104,-0.184842019,-0.190422394,-0.47385529,-0.600726598
-0.65112795,0.667859772,1.037625924,1.009902361,0.914380758,0.904691151,0.918213839,1.025603095,0.992557607,0.918876164,0.982590597,0.949188328,0.880474273,0.921941015,1.02181388,0.891253711,0.970821727,0.805884603,0.828284616,0.870710671,0.935354454,0.930482357,0.949281639,0.734900447,0.783347411
-0.079978781,-0.108576633,0.001967319,0.028180417,0.053216055,-0.044874688,-0.040517043,-0.056057828,0.002006008,0.087780533,0.03292424,0.04499581,0.07311359,0.013472126,0.032378572,0.054033765,-0.059540876,-0.01536715,-0.050763561,0.168413026,0.129720537,-0.023859822,-0.032744953,-0.252147056,-0.076459331
-1.017284413,1.671340992,1.314918689,1.287998085,1.447248486,1.495302058,1.452248234,1.250065507,1.097251369,1.427729446,1.41303046,1.36437315,1.424410905,0.920745878,1.353765707,1.485620973,1.470938132,1.357273966,1.193299798,0.999329329,1.36712044,1.412060747,1.465797318,1.087637736,0.717619994
0.009905233,-0.084568547,-0.526324695,-0.49832777,-0.337633292,-0.289320931,-0.381966698,-0.455266498,-0.574347222,-0.339510821,-0.33480483,-0.372486066,-0.286688844,-0.632023119,-0.473663049,-0.304377934,-0.32411517,-0.454341262,-0.496180263,-0.673854075,-0.409448278,-0.424888658,-0.390249944,-0.607872119,-0.727531257
-0.242988135,-0.121574021,0.612930115,0.587419753,0.346842507,0.291435563,0.437680335,0.582028406,0.688924625,0.372078627,0.438933078,0.460162787,0.316955175,0.763247723,0.582094109,0.345310269,0.36877074,0.270541588,0.447094818,0.706309744,0.490980271,0.42177733,0.373231292,0.387603443,0.779111912
0.494565093,-0.780445909,-0.388185301,-0.444159146,-0.545759002,-0.585877872,-0.604526059,-0.505655854,-0.375652469,-0.556861176,-0.53818183,-0.572297166,-0.640253165,-0.367172035,-0.515018907,-0.632217603,-0.592404368,-0.650467152,-0.597871185,-0.434076932,-0.599341582,-0.652798685,-0.606945004,-0.556941825,-0.332533059
-0.709620232,0.919610647,0.674966489,0.746637772,0.870128468,0.849955644,0.866020061,0.732089847,0.581426495,0.879130023,0.87494498,0.865549335,0.92312244,0.534431983,0.797329793,0.936880136,0.856355736,0.777871921,0.719547144,0.662843993,0.923026712,0.881026418,0.881780973,0.486790559,0.365146518
0.030930148,-0.315014061,-1.110088253,-1.054047481,-0.924370641,-0.729539919,-0.728715654,-0.914107083,-1.107026632,-0.926057343,-0.856926169,-0.896976557,-0.777144025,-1.160054144,-1.033831477,-0.798082873,-0.779710907,-0.952139914,-0.961373923,-1.426052355,-1.001520324,-0.875417414,-0.912316721,-1.012903071,-1.222363828
-0.431174748,0.481293142,0.509473053,0.489354651,0.538312276,0.506672954,0.451066188,0.437903017,0.426881741,0.536002723,0.523204351,0.493375495,0.514499675,0.347440041,0.48928892,0.512678482,0.489247419,0.420046994,0.364349755,0.38441781,0.508700143,0.440363228,0.484408995,0.217744437,0.19309575
1.371523542,-1.481524571,-1.713287825,-1.672086641,-1.639527358,-1.618532419,-1.717643979,-1.650979207,-1.675479481,-1.640959259,-1.60729775,-1.663382734,-1.602078025,-1.620132967,-1.675168349,-1.664092572,-1.643610673,-1.777253791,-1.702208334,-1.692267705,-1.646497915,-1.72829983,-1.682686596,-1.731897216,-1.551855023
-0.76432142,1.13190951,0.758342346,0.765531149,0.932992228,0.965149207,0.928161616,0.752674311,0.607684642,0.930996948,0.911960702,0.88567333,0.956706864,0.4926655,0.825215409,0.989635627,0.935574591,0.841984862,0.722861799,0.5761056,0.897633618,0.897248966,0.927812731,0.572112192,0.31365588
-0.392054277,0.573448728,0.291287019,0.267407021,0.378019001,0.441237971,0.338355085,0.268574325,0.160637206,0.355492387,0.376894933,0.310384617,0.359582418,0.044210318,0.297262008,0.36444945,0.409809168,0.24248626,0.16932807,-0.006812752,0.292095635,0.286149144,0.365554955,0.087533986,-0.095259115
-0.555750803,0.189871127,1.257700992,1.218997205,0.857192325,0.761752921,0.925114699,1.2751264,1.534863137,0.891382481,0.863007969,0.990588528,0.778622028,1.665694082,1.13851226,0.775699288,0.816666186,0.971828011,1.227582524,1.483112558,0.888899598,0.977801983,0.796242255,1.251968464,1.716724837
1.088111839,-1.521035088,-0.61697253,-0.720710487,-1.022773741,-1.203456496,-0.904292945,-0.919845357,-0.484211476,-1.017643467,-1.061745098,-0.983393451,-1.144565893,-0.258421148,-0.820437365,-1.104951319,-1.200575489,-0.89642964,-0.73929109,-0.1915402,-0.853086369,-1.030979608,-1.071742052,-0.528889219,0.065846125
-0.843437747,1.244873287,1.092794306,1.078621949,1.165050572,1.188867885,1.152946344,1.059209863,0.93169776,1.149548787,1.174487514,1.120210905,1.150455933,0.798094814,1.129801544,1.174818246,1.202041385,1.055342906,0.961449574,0.834174883,1.135592744,1.137980466,1.198971549,0.832601214,0.612773645
-0.123026862,0.043405375,-0.579555689,-0.544701518,-0.355654229,-0.261640119,-0.344711969,-0.479956474,-0.634767902,-0.364093732,-0.355761458,-0.390747934,-0.283044588,-0.723900138,-0.533504696,-0.285166185,-0.31288872,-0.449047429,-0.507893283,-0.825144537,-0.473809792,-0.424152989,-0.412132204,-0.592037814,-0.825886945
-0.35874081,0.281377377,0.463081713,0.470608593,0.446869654,0.401255283,0.402021104,0.430447308,0.418544684,0.449052679,0.475992585,0.447543429,0.438150819,0.388184434,0.469577722,0.42803735,0.425113838,0.320526582,0.342770402,0.402039092,0.493609393,0.412012802,0.442212177,0.171996565,0.268442626
1.190320808,-1.383808761,-1.839964244,-1.814435606,-1.713024277,-1.654296234,-1.857478825,-1.799093962,-1.816416236,-1.734557262,-1.728355535,-1.79861971,-1.70516792,-1.856535366,-1.862945041,-1.741308018,-1.712734198,-1.863773318,-1.859732251,-2.035461973,-1.902089422,-1.877036303,-1.843260942,-1.822235131,-1.841525594
-0.645110407,0.929830658,0.303947346,0.364794459,0.541759702,0.667161135,0.657353197,0.435413205,0.189656504,0.525565662,0.565120472,0.523851008,0.605261054,0.105975374,0.441703501,0.633872217,0.639531177,0.484742742,0.395925066,0.094097481,0.519488898,0.583041894,0.598346387,0.279703797,-0.021881462
-0.124524515,0.047453356,-0.471215286,-0.41557475,-0.239855233,-0.180180794,-0.234922813,-0.349179249,-0.510065928,-0.240136479,-0.224351623,-0.248765958,-0.154165895,-0.554301819,-0.379015344,-0.170455446,-0.207495873,-0.335066824,-0.371803204,-0.58383618,-0.275825292,-0.281273208,-0.266146601,-0.508163566,-0.659769553
-0.621004945,0.574711047,1.074196027,1.027920209,0.897652889,0.864375361,0.864835459,1.031869033,1.072514036,0.897225684,0.919654543,0.91183974,0.822432053,1.003314665,0.98203197,0.828770725,0.900702954,0.810729684,0.837951864,0.919813514,0.853026482,0.878997976,0.868209179,0.763986051,0.852244672
1.47507454,-1.556277468,-1.287668666,-1.364417769,-1.472653185,-1.47909608,-1.506419366,-1.430164114,-1.294366078,-1.479087329,-1.44676214,-1.504259532,-1.557683541,-1.244406207,-1.405555683,-1.551948752,-1.508979215,-1.600925324,-1.508475305,-1.284430152,-1.490597347,-1.562929321,-1.50080261,-1.340199837,-1.062341668
-0.733546381,1.062454284,0.834657713,0.82246244,0.945258798,0.96275691,0.913842481,0.797704296,0.686446531,0.936846274,0.931832618,0.893228489,0.943632571,0.566391677,0.868533381,0.965078012,0.946049086,0.837119249,0.734917077,0.622515246,0.906635079,0.891126806,0.940271847,0.591627873,0.384832934
-0.587432508,0.850314303,0.275151315,0.306792278,0.486620151,0.593329475,0.554541572,0.359095928,0.151966856,0.473715472,0.493300979,0.451913117,0.535184086,0.052812487,0.371945649,0.56040203,0.557293102,0.410448012,0.315726526,0.037389315,0.434692511,0.484377123,0.509965264,0.206774212,-0.083717675
-0.67279936,0.717886323,0.954506747,1.001464817,0.964632453,0.861911905,0.902524779,0.919096732,0.91239018,0.979013016,0.960560911,0.961161344,0.961099835,0.877129567,0.982915313,0.958128014,0.884021754,0.858459271,0.871103391,0.969939007,1.031592957,0.955943392,0.935487296,0.605628625,0.701756999
0.041275685,-0.157478182,-0.007482529,-0.051531503,-0.071479878,-0.065080248,-0.163501014,-0.088127291,-0.05972934,-0.094330079,-0.066503624,-0.13040326,-0.154731294,-0.13284647,-0.093400491,-0.150929361,-0.081315053,-0.222351686,-0.229147884,-0.226949184,-0.172316939,-0.203383909,-0.124980128,-0.244061442,-0.209979209
-0.841199468,1.250158348,0.931954653,0.950232116,1.096500919,1.117917233,1.099370981,0.93270345,0.77774277,1.091619952,1.085880627,1.055481884,1.116352802,0.666211878,1.011315592,1.149701503,1.107876892,1.005293385,0.896357656,0.758125701,1.080768214,1.081884175,1.112946741,0.730881966,0.482946044
0.974402989,-1.332957026,-1.933033148,-1.839924656,-1.759431903,-1.646037944,-1.699254861,-1.71623652,-1.848814846,-1.772518817,-1.691158623,-1.730689247,-1.616036998,-1.803109161,-1.851090809,-1.709140517,-1.675550598,-1.859272891,-1.757887125,-2.050902281,-1.79389663,-1.781488858,-1.775314993,-1.845670919,-1.81860631
