V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
111.3621961,-0.241772166,-0.216474193,-0.20762862,-0.214601833,-0.221387766,-0.196549303,-0.187764455,-0.189432224,-0.201813147,-0.191313851,-0.185058586,-0.192604114,-0.17968816,-0.194588846,-0.208761737,-0.202689437,-0.196507379,-0.198124294,-0.158808754,-0.184421358,-0.206044046,-0.201848865,-0.20913926,-0.175734283
71.15722994,-0.139294587,-0.113114964,-0.102344267,-0.107393983,-0.116689112,-0.104260245,-0.084414392,-0.087691724,-0.099438218,-0.087957057,-0.082958758,-0.0880586,-0.075109177,-0.093170491,-0.10763486,-0.099407409,-0.099751265,-0.093679737,-0.065710407,-0.079071524,-0.104203123,-0.097158664,-0.118715407,-0.086885485
85.31769495,-0.192286734,-0.200951415,-0.189427206,-0.189082586,-0.187233362,-0.168010305,-0.161860864,-0.174379638,-0.1776277,-0.165129511,-0.159756924,-0.162087904,-0.17228919,-0.176927405,-0.17960928,-0.170743938,-0.170977217,-0.173514897,-0.16723752,-0.166942413,-0.178843577,-0.176802527,-0.189309457,-0.182275631
80.4418771,-0.173712443,-0.146775482,-0.135400499,-0.141146704,-0.14984667,-0.134088614,-0.115498964,-0.119267986,-0.131672996,-0.119464357,-0.114256038,-0.120205225,-0.106868029,-0.125159831,-0.139730215,-0.131231224,-0.131006598,-0.12609562,-0.09611998,-0.11152002,-0.136311472,-0.129983774,-0.149679664,-0.11572427
99.0217275,-0.215513098,-0.196366494,-0.187459352,-0.189890771,-0.196383122,-0.181834302,-0.168279329,-0.170245427,-0.179012765,-0.169785391,-0.165441286,-0.171441346,-0.166298847,-0.176688615,-0.187178246,-0.179116554,-0.175102826,-0.179942167,-0.149906815,-0.169121295,-0.187862457,-0.181834317,-0.191722645,-0.170710011
72.93111949,-0.146900687,-0.130997428,-0.117601513,-0.11978847,-0.12741466,-0.112985947,-0.096885694,-0.104760776,-0.111227313,-0.099160057,-0.093563434,-0.097812709,-0.092121879,-0.106740249,-0.117015986,-0.109704172,-0.110239637,-0.104961488,-0.080433845,-0.090137741,-0.113883611,-0.108018566,-0.130167797,-0.103129183
81.10677963,-0.171674296,-0.156765623,-0.14555547,-0.148326886,-0.153494162,-0.13907914,-0.123047668,-0.130918051,-0.139026796,-0.126346066,-0.12183076,-0.126645003,-0.12188913,-0.134053399,-0.145850588,-0.135712877,-0.13740294,-0.134578588,-0.112598568,-0.121410994,-0.143072017,-0.136324476,-0.15563477,-0.131545558
74.11892964,-0.169004247,-0.088864753,-0.079405865,-0.108821089,-0.122436572,-0.104426749,-0.057150468,-0.036756687,-0.099900865,-0.092398081,-0.078951118,-0.094948021,-0.001773961,-0.081011648,-0.117860025,-0.10377245,-0.086676333,-0.059502102,-0.022124432,-0.083533814,-0.09794368,-0.101241131,-0.073379848,0.005422181
88.2501463,-0.205518044,-0.143529817,-0.136443164,-0.156799714,-0.166911279,-0.143616236,-0.117069365,-0.105586443,-0.146953623,-0.136017526,-0.125969273,-0.140878235,-0.083157239,-0.132823741,-0.15830021,-0.147661671,-0.136716597,-0.125240349,-0.082855251,-0.129639186,-0.148098842,-0.146454308,-0.133774656,-0.075218842
70.6969537,-0.137465078,-0.11014018,-0.09807724,-0.105435795,-0.113242919,-0.100197493,-0.078343959,-0.084945075,-0.098376455,-0.083258846,-0.08004221,-0.086192222,-0.071480099,-0.088425406,-0.106097899,-0.093499915,-0.098403548,-0.089836165,-0.065680989,-0.075592166,-0.099749965,-0.091306764,-0.113990215,-0.080854572
83.27946256,-0.184672358,-0.187102883,-0.173323463,-0.172168924,-0.173979338,-0.156070908,-0.146670674,-0.159446101,-0.161888386,-0.149103429,-0.1431955,-0.146029868,-0.153291485,-0.160698746,-0.164498472,-0.156446641,-0.156567498,-0.156611494,-0.144036582,-0.146646019,-0.16330458,-0.15969949,-0.176121158,-0.163729651
74.80869495,-0.156792801,-0.115912285,-0.106799345,-0.117837021,-0.126876528,-0.113860271,-0.08824868,-0.087909309,-0.110045783,-0.096614974,-0.092323423,-0.100705627,-0.074755084,-0.09964337,-0.120251282,-0.108045276,-0.110098991,-0.10234551,-0.071828985,-0.090680014,-0.114645375,-0.107034923,-0.123737917,-0.0845529
109.0593892,-0.24536541,-0.253903687,-0.239994378,-0.238873381,-0.23971885,-0.217463139,-0.212020016,-0.224690308,-0.225946636,-0.214372277,-0.207726654,-0.209621016,-0.22217972,-0.226338601,-0.228274484,-0.221429944,-0.218639544,-0.223355267,-0.208948745,-0.215498728,-0.229207455,-0.226863623,-0.238458287,-0.230962175
71.63460568,-0.136585577,-0.125694477,-0.114713255,-0.116551017,-0.120775681,-0.108571646,-0.093439178,-0.102266729,-0.109123882,-0.096383489,-0.092403277,-0.096523136,-0.09308982,-0.103813951,-0.114889368,-0.104252749,-0.107282795,-0.10344032,-0.086052851,-0.091113483,-0.111560694,-0.104247397,-0.124364279,-0.103676872
79.19704434,-0.165829816,-0.154534556,-0.143774052,-0.143691238,-0.149763753,-0.13651468,-0.1224433,-0.129233177,-0.134162019,-0.123708126,-0.118390759,-0.122166448,-0.121990229,-0.132758532,-0.140581107,-0.133275639,-0.132748301,-0.132103867,-0.110004831,-0.11937565,-0.140681863,-0.134546151,-0.153010074,-0.133028438
75.3421337,-0.165583311,-0.110507946,-0.101029054,-0.1178306,-0.128856813,-0.112548714,-0.082566319,-0.077764988,-0.109344101,-0.096041737,-0.090057533,-0.100987414,-0.059793712,-0.095731873,-0.120485924,-0.108856258,-0.108815803,-0.096628445,-0.060278765,-0.088334046,-0.112263033,-0.107232985,-0.118762017,-0.066703073
94.44987698,-0.211971362,-0.170224826,-0.163209775,-0.175006791,-0.181763825,-0.162893775,-0.14323278,-0.140625507,-0.164974181,-0.153257775,-0.147623538,-0.158820598,-0.129880675,-0.156270027,-0.174667345,-0.163383161,-0.160011831,-0.157557723,-0.122427726,-0.152662657,-0.169575919,-0.16457816,-0.165747612,-0.129032467
72.82995365,-0.146855077,-0.122947222,-0.110612347,-0.11539835,-0.1242779,-0.110311653,-0.09123216,-0.096702452,-0.107142581,-0.094688633,-0.089665369,-0.094816205,-0.083333908,-0.100696041,-0.114514637,-0.106008865,-0.10706467,-0.100468338,-0.073400903,-0.085592309,-0.110451183,-0.103796613,-0.126119685,-0.0940482
75.34650448,-0.156104533,-0.150609688,-0.135507004,-0.136364642,-0.140126747,-0.124059323,-0.110965039,-0.123583193,-0.127890341,-0.113926314,-0.108691829,-0.112678097,-0.112384428,-0.123199104,-0.131515632,-0.122198829,-0.124154228,-0.119980178,-0.102715755,-0.107121295,-0.127401612,-0.122182003,-0.142906861,-0.122004178
71.3207067,-0.147195622,-0.097835252,-0.087370275,-0.101545574,-0.115612673,-0.101909117,-0.073667386,-0.066279762,-0.092841861,-0.084465401,-0.077048753,-0.084401996,-0.049234257,-0.082961478,-0.105596709,-0.098853325,-0.091675272,-0.082200328,-0.042647011,-0.071197568,-0.099173103,-0.094717273,-0.109667348,-0.061372395
