V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
1.67537219,-1.75863865,-1.54581634,-1.579498485,-1.666780324,-1.718478984,-1.681248517,-1.653728693,-1.531855506,-1.664878917,-1.638030824,-1.681395138,-1.694225395,-1.418427053,-1.594448166,-1.717886868,-1.730367074,-1.786422054,-1.66899281,-1.382475433,-1.585190334,-1.736749982,-1.689002809,-1.604803669,-1.211858941
-0.746646547,1.043778652,0.839637438,0.845395164,0.96968197,0.958213199,0.930375066,0.806616196,0.710160442,0.976713587,0.947591256,0.930894066,0.987097391,0.610363712,0.889496127,1.006778503,0.936970752,0.8731828,0.771719648,0.719367065,0.962343874,0.924713392,0.947246726,0.587077088,0.41927568
0.106405075,-0.405378432,-1.187562224,-1.160286207,-1.039209365,-0.845298435,-0.873643346,-1.037069502,-1.200147501,-1.040818958,-0.982991083,-1.034035994,-0.911563328,-1.274889975,-1.161883116,-0.932431089,-0.905350001,-1.084656142,-1.093908158,-1.572768164,-1.162520379,-1.025905585,-1.058300054,-1.12412781,-1.331948577
-0.187322873,0.102566001,0.062777836,0.084048919,0.1396329,0.110517708,0.086282892,0.066618876,0.014326597,0.144955777,0.159389853,0.130133194,0.16261936,-0.00574542,0.106011324,0.142032098,0.115096239,0.014045009,0.014209157,0.03282283,0.177685287,0.085608697,0.120663331,-0.163498757,-0.110162446
0.931960394,-1.040541421,-1.081745674,-1.114962893,-1.059084309,-1.07921827,-1.264838982,-1.189867065,-1.109043503,-1.076557938,-1.099464752,-1.179474014,-1.151454986,-1.158679696,-1.156034676,-1.136362029,-1.121579241,-1.198059717,-1.2441038,-1.181500078,-1.215209354,-1.261600805,-1.185007742,-1.18262367,-1.119620633
-0.639784283,0.835777408,0.42692352,0.493992516,0.664875967,0.684007288,0.683452519,0.509725186,0.334016367,0.672518171,0.667331745,0.659566653,0.736929661,0.280324056,0.557144824,0.754022457,0.671048923,0.584881379,0.508082077,0.386962164,0.694744349,0.671727995,0.673778804,0.309470317,0.121065035
-0.14726796,0.158302457,-0.167787154,-0.149838889,-0.036942588,0.017267104,-0.054940517,-0.113085062,-0.242401359,-0.044795203,-0.012766231,-0.063670892,-0.002544334,-0.297148809,-0.111810449,-0.022869343,-0.000645893,-0.161775862,-0.184025067,-0.339207353,-0.061494927,-0.091068247,-0.039004626,-0.307850954,-0.400618255
-0.568228484,0.231319331,1.399314196,1.373709026,0.9345865,0.811275497,0.925663286,1.455659394,1.832596107,0.964775854,0.836492497,1.033432077,0.810401501,2.033037801,1.187291216,0.731281475,0.824240218,1.23258286,1.570399662,1.703389413,0.854438297,1.088294761,0.844444344,1.686014341,2.113910102
0.283061166,-0.767210286,0.137685351,0.06003441,-0.245306915,-0.32575059,-0.183332632,0.029234013,0.315821467,-0.249332086,-0.254711998,-0.169557388,-0.36759003,0.454234497,-0.081693602,-0.358299998,-0.309232688,-0.142909857,0.03419555,0.332295078,-0.260466284,-0.222436941,-0.294088343,0.222039795,0.633458273
-0.774374407,1.093809583,0.908293239,0.943672699,1.017837856,1.046317473,1.045344061,0.951128524,0.770687289,1.0041104,1.065123895,1.005515797,1.034965159,0.680766391,1.005713034,1.048188898,1.089536331,0.910228463,0.861538167,0.720031215,1.046480536,1.041090154,1.09460598,0.70161609,0.529994466
-0.016381673,-0.197150842,-0.867948447,-0.789387198,-0.623267512,-0.506450312,-0.535778706,-0.67545282,-0.871062949,-0.634695558,-0.582075101,-0.610301394,-0.499716115,-0.906342033,-0.764409867,-0.525300005,-0.53611129,-0.688565841,-0.69890101,-1.048970282,-0.671719793,-0.619816643,-0.627621047,-0.804442485,-0.991471367
-0.526675794,0.565261324,0.775077352,0.742786465,0.71286612,0.69776499,0.658710658,0.715337387,0.705365614,0.703005321,0.731000744,0.691293138,0.662733761,0.617232985,0.730962002,0.666853762,0.713891189,0.588747417,0.569213546,0.581230484,0.681631291,0.651820415,0.698548361,0.465331083,0.462098548
1.536647004,-1.856901787,-2.409661072,-2.324941851,-2.263667791,-2.187125594,-2.273074558,-2.231155002,-2.308824246,-2.287598227,-2.214871228,-2.261372111,-2.130665059,-2.242746464,-2.372065038,-2.243619544,-2.214355091,-2.394784773,-2.258602754,-2.514465077,-2.336692819,-2.342091756,-2.318910316,-2.315499003,-2.225762674
-0.717888582,1.117860981,0.549311684,0.560514461,0.744491613,0.8537373,0.808369752,0.591772711,0.388976725,0.726793263,0.736791662,0.68925002,0.770003881,0.261546372,0.628815868,0.811320018,0.811836113,0.666158233,0.543629481,0.260104209,0.671149293,0.732434028,0.768742257,0.450148023,0.111010256
-0.262313814,0.31812935,-0.116295804,-0.108809523,0.077057568,0.112637559,0.017629348,-0.098697532,-0.205272442,0.080731207,0.053225735,0.024343725,0.11231906,-0.299110093,-0.080096508,0.119106485,0.062297662,-0.033830455,-0.126194559,-0.280649651,-0.01227692,-0.028605069,0.005776136,-0.244228139,-0.427841776
-0.494540494,0.324870437,0.899805465,0.875686942,0.713024029,0.647137678,0.695825482,0.850611299,0.928912084,0.721110918,0.745341105,0.749267365,0.655506666,0.907477662,0.826762611,0.660531779,0.69294696,0.624019315,0.702812786,0.841994965,0.738360687,0.714079447,0.693560874,0.585947251,0.789795398
0.656543979,-0.943686837,-0.478415505,-0.556450214,-0.693056527,-0.705466018,-0.728854232,-0.593610542,-0.456320804,-0.714318693,-0.686002158,-0.72359558,-0.827765343,-0.452181608,-0.65594141,-0.799280327,-0.715252251,-0.783242698,-0.721012951,-0.561116166,-0.817212123,-0.783708909,-0.750472942,-0.55298698,-0.354481566
-0.645878693,0.837024675,0.612716261,0.654965948,0.772838071,0.76420069,0.7591305,0.644312856,0.511594521,0.777916993,0.779190989,0.75930115,0.813782255,0.450807196,0.705179918,0.821416387,0.766483075,0.67215398,0.613080239,0.54574195,0.804660448,0.761429493,0.780093649,0.407596861,0.287778651
-0.49427719,0.584083144,-0.025712766,0.081595892,0.257233684,0.359014142,0.370094803,0.174553208,-0.080765949,0.242560079,0.297932127,0.272497031,0.355670793,-0.112761374,0.154033568,0.363357922,0.348364799,0.202401008,0.157117842,-0.116087217,0.284053757,0.318454857,0.317123126,0.000674493,-0.225452408
-0.736798416,0.827711928,1.192281777,1.19027392,1.11350644,0.985733107,0.996908008,1.062458718,1.182007549,1.146920188,1.034940153,1.082105311,1.080879863,1.112326904,1.139535869,1.061692487,0.951280409,1.095173409,1.039976207,1.240059717,1.152749221,1.056165585,1.008724445,0.806402687,0.887658888
0.373127118,-0.562813195,-0.450677278,-0.470369357,-0.500162185,-0.498686164,-0.55573541,-0.493226158,-0.479088623,-0.507639422,-0.46171903,-0.519122537,-0.529177122,-0.485122191,-0.482169338,-0.550905929,-0.503450594,-0.654188176,-0.597472588,-0.551855371,-0.4986494,-0.584796221,-0.517143046,-0.650998584,-0.50225078
-0.89679222,1.389433227,1.108598538,1.08783978,1.231239506,1.25508711,1.209512856,1.050096575,0.926845534,1.221062595,1.20082136,1.163851688,1.220892932,0.778121469,1.141477581,1.262228202,1.22947997,1.133614494,0.996374275,0.859708157,1.173688187,1.182623663,1.227755712,0.861736993,0.577148082
0.644069971,-0.805883041,-1.263295034,-1.24174116,-1.123329455,-1.04999067,-1.207421779,-1.201423122,-1.273066202,-1.136236525,-1.121545969,-1.184432628,-1.099237781,-1.323203586,-1.255165022,-1.131681391,-1.101776662,-1.259997936,-1.270373275,-1.471781965,-1.262680052,-1.24881173,-1.208931739,-1.296491279,-1.358379214
0.434738301,-1.116957639,0.557708779,0.485834015,-0.210500783,-0.518910448,-0.124607489,0.374396186,1.331656913,-0.196353221,-0.45006399,-0.053244027,-0.386442676,1.897932432,0.188366403,-0.458682792,-0.467121692,0.902047489,1.373772796,1.452572517,0.042254896,0.059807092,-0.084575835,2.210349692,2.467892001
